source_asm,reference_eng,prediction_eng
যি সৰু সি হাজাৰ হৈ উঠিব ; সৰু জাতি বৃহৎ হ’ব ; মই যিহোৱাই উচিত সময়ত ইয়াক সাম্ফল কৰিবলৈ বেগী হম ।,"A little one shall become a thousand , and a small one a strong nation I the Lord will hasten it in his time .","The child shall be a wretch, and the little nation shall be a wretch : I am the Lord that will make him whole in the midst of the congregation."
"কিয়নো প্ৰভুৰ চকুৱে ধাৰ্মিক সকলক দৃষ্টি কৰে , আৰু তেওঁৰ কাণে তেখেত সকলৰ প্ৰাৰ্থনা শুনে । কিন্তু যি সকল কু কৰ্মী , তেখেত সকললৈ প্ৰভুৰ মুখ বিৰোধী ।","For he that will love life , and see good days , let him refrain his tongue from evil , and his lips that they speak no guile","For the Lord hath made the righteous to see, and hath called them therein : but the Lord that worketh therein is the foolish one."
"উদাহৰণস্বৰূপে , এখন মণ্ডলীৰ ১০৫ জন প্ৰচাৰকে ৰাতিপূৱা কৰা প্ৰচাৰ কাৰ্য্যত লগ পোৱা সকলো গৃহস্থকে বাইবেল অধ্যয়ন কৰিবলৈ প্ৰস্তাৱনা আগবঢ়ালে ।",One morning a congregation with 105 publishers made a special effort to offer a Bible study to each householder they met .,"After the war, the British had to face a war of words."
"আৰু চলোমনে যিবোৰ পাত্ৰ সাজিলে , সেই আটাইবোৰ অনেক আছিল ; কিয়নো সেইবোৰ পিতলৰ ওজন কিমান , তাক জনা নগ’ল ।",Thus Solomon made all these vessels in great abundance for the weight of the brass could not be found out .,"And Solomon made the son of Jacob, and came to him, and knew him not, because Caiman was the son of Jacob."
কৰঙনৰ জোৰাৰ চুক  ।,the part of the body where the legs join at the top including the area around the Genitals,The curtain of the curtain.
ফাংকশ্বনবোৰৰ সৈতে প্রৱিষ্টিবোৰ এতিয়ালৈকে আছে যিবোৰ কেৱল মাত্ৰ পপ আপছবোৰৰ লগত নির্ধাৰিত কৰিব পৰা যাব তথাপিও অব্যাহত ৰাখিবনে ?,There are still entries with functions that can only be assigned to pop ups . Continue anyway ?,"And what is the matter with the poor, that they should not be put to the sword?"
"তেতিয়া পিতৰে তেওঁক একাষলৈ নি অনুযোগ কৰি ক লে হে প্ৰভু , ই আপোনাৰ পৰা দূৰ হওঁক আপোনাৰ প্ৰতি কেতিয়াও এনে নঘটক ।","Then Peter took him , and began to rebuke him , saying , Be it far from thee , Lord this shall not be unto thee .","And Peter saith unto him, Behold, thou art far from thee, and draw not thy prayer."
যিহোৰামৰ ৰাজত্বৰ সময়ত ইদোমীয়াসকলে যিহূদাৰ অধীনতা অস্বীকাৰ কৰি বিদ্রোহ কৰিলে আৰু তেওঁলোকৰ নিজৰ কাৰণে এজন ৰজা পাতি ল’লে ।,"In his days Edom revolted from under the hand of Judah , and made a king over themselves .","The Edomites, who had been defeated by the king of Jehoram, were a king who had been defeated."
উৎসৱ পাৰ্বন বা আনন্দৰ মুহূৰ্তত ফুটুৱা সৰু বোমা ।,A small bomb that are cracked during celebrations .,A small bomb with a large statue of Lord Vishnu and Anand.
মানৱে ধাৰণা কৰাৰ অনুসাৰে তেওঁ আমাৰ পৰা বহু আঁতৰত আছেনে ?,Is he too far removed to be interested in the expressions made to him by mere humans ?,"Is he coming out of us, that he should be afraid of us?"
৭৫ বাবিলত চাৰিজন ইস্ৰায়েলী ল’ৰা,75 Four Boys in Babylon,Saryon Israelis in the Bible
উজ্জীয়েলৰ বংশধৰ সকলৰ মাজত মীখা । মীখাৰ বংশধৰ সকলৰ মাজত চামীৰ ।,Of the sons of Uzziel ; Michah :  of the sons of Michah ; Shamir .,"And the house of Ezekiel was full of wine, and all the house of Michael was full of wine."
তেনেহ’লে আনক পৰামৰ্শ দিয়াৰ সময়ত আপোনাকো এই কথাবোৰ মনত ৰখা উচিত নহ’বনে ?,"So when you counsel others , should not the same things be true of your attitude and motive ?","And he will not, when he hath given him counsel, cause thee to be kept in the heart of the word?"
